山洪隐患点 2839
115.88	37.82	武邑县
115.98	38.03	武强县
115.73	38.23	饶阳县
115.52	38.23	安平县
115.97	37.35	故城县
116.27	37.7	景县
116.15	37.87	阜城县
115.57	37.57	冀州市
115.55	38.02	深州市
112.57	37.73	小店区
112.57	37.87	迎泽区
112.57	37.88	杏花岭区
112.48	37.93	尖草坪区
112.52	37.87	万柏林区
112.48	37.73	晋源区
112.35	37.6	清徐县
112.67	38.07	阳曲县
111.78	38.07	娄烦县
112.17	37.92	古交市
113.28	40.08	城区
113.6	37.85	城区
113.12	36.22	城区
112.83	35.5	城区
113.17	40.03	矿区
113.57	37.87	矿区
113.13	40	南郊区
113.15	40.27	新荣区
113.75	40.37	阳高县
114.08	40.42	天镇县
114.28	39.77	广灵县
114.23	39.43	灵丘县
113.68	39.7	浑源县
112.7	40	左云县
113.6	40.03	大同县
113.28	40.08	城区
113.6	37.85	城区
113.12	36.22	城区
112.83	35.5	城区
113.17	40.03	矿区
113.57	37.87	矿区
113.58	37.93	郊区
113.12	36.2	郊区
113.62	37.8	平定县
113.4	38.08	盂县
113.28	40.08	城区
113.6	37.85	城区
113.12	36.22	城区
112.83	35.5	城区
113.58	37.93	郊区
113.12	36.2	郊区
113.03	36.05	长治县
113.05	36.53	襄垣县
112.88	36.32	屯留县
113.43	36.2	平顺县
113.38	36.5	黎城县
113.2	36.12	壶关县
112.87	36.12	长子县
112.85	36.83	武乡县
112.7	36.75	沁县
112.33	36.5	沁源县
113.22	36.33	潞城市
113.28	40.08	城区
113.6	37.85	城区
113.12	36.22	城区
112.83	35.5	城区
112.18	35.68	沁水县
112.42	35.48	阳城县
113.27	35.78	陵川县
112.83	35.5	泽州县
112.92	35.8	高平市
112.43	39.33	朔城区
112.82	39.52	山阴县
113.18	39.55	应县
112.47	39.98	右玉县
113.08	39.83	怀仁县
112.75	37.68	榆次区
112.97	37.07	榆社县
113.37	37.07	左权县
113.57	37.33	和顺县
113.7	37.62	昔阳县
113.18	37.88	寿阳县
112.55	37.42	太谷县
112.33	37.35	祁县
112.17	37.18	平遥县
111.77	36.85	灵石县
111.92	37.03	介休市
110.98	35.02	盐湖区
110.77	35.15	临猗县
110.83	35.42	万荣县
111.22	35.35	闻喜县
110.97	35.6	稷山县
111.22	35.62	新绛县
111.57	35.48	绛县
111.67	35.3	垣曲县
111.22	35.15	夏县
111.22	34.83	平陆县
110.68	34.7	芮城县
110.7	35.6	河津市
112.73	38.42	忻府区
112.95	38.48	定襄县
113.25	38.73	五台县
112.95	39.07	代县
113.25	39.18	繁峙县
112.3	39	宁武县
111.93	38.37	静乐县
112.2	39.08	神池县
111.85	38.9	五寨县
111.57	38.7	岢岚县
111.13	39.38	河曲县
111.5	39.43	偏关县
112.7	38.73	原平市
111.52	36.08	尧都区
111.47	35.63	曲沃县
111.72	35.73	翼城县
111.43	35.88	襄汾县
111.67	36.25	洪洞县
111.92	36.27	古县
112.25	36.15	安泽县
111.83	35.97	浮山县
110.68	36.1	吉县
110.83	35.97	乡宁县
110.75	36.47	大宁县
110.93	36.7	隰县
110.63	36.77	永和县
111.08	36.42	蒲县
111.57	36.65	汾西县
111.35	35.62	侯马市
111.72	36.57	霍州市
111.13	37.52	离石区
112.02	37.43	文水县
112.15	37.55	交城县
111.12	38.47	兴县
110.98	37.95	临县
110.9	37.43	柳林县
110.83	37	石楼县
111.67	38.28	岚县
111.23	37.88	方山县
111.18	37.33	中阳县
111.2	36.97	交口县
111.77	37.15	孝义市
111.78	37.27	汾阳市
111.65	40.87	新城区
111.6	40.8	回民区
111.67	40.75	玉泉区
111.68	40.8	赛罕区
111.13	40.72	土默特左旗
111.18	40.27	托克托县
111.82	40.38	和林格尔县
111.68	39.92	清水河县
111.45	41.08	武川县
110.02	40.58	东河区
109.83	40.63	昆都仑区
109.9	40.65	青山区
110.27	40.68	石拐区
109.97	40.6	九原区
110.52	40.57	土默特右旗
110.05	41.03	固阳县
110.43	41.7	达尔罕茂明安联合旗
106.83	39.7	海勃湾区
106.88	39.43	海南区
106.7	39.5	乌达区
118.97	42.28	红山区
119.28	42.03	元宝山区
118.92	42.28	松山区
120.08	43.88	阿鲁科尔沁旗
119.38	43.98	巴林左旗
118.67	43.52	巴林右旗
118.05	43.6	林西县
117.53	43.25	克什克腾旗
119.02	42.93	翁牛特旗
118.7	41.93	喀喇沁旗
119.33	41.6	宁城县
119.9	42.28	敖汉旗
122.27	43.62	科尔沁区
123.32	44.13	科尔沁左翼中旗
122.35	42.95	科尔沁左翼后旗
121.3	43.6	开鲁县
121.77	42.73	库伦旗
120.65	42.85	奈曼旗
120.92	44.55	扎鲁特旗
